/home/mmurakami/miniconda3/envs/py38/lib/python3.8/site-packages/shapely/geometry/point.py:70: UserWarning: Warning: converting a masked element to nan.
  coords = np.array(args).squeeze()
tmin, tmax, smin, smax sizes=, -3.3 3.63 30.69 38.38
Processing row 1/194353 | Elapsed: 0.00s | Estimated Remaining: -0.00s
Processing row 1001/194353 | Elapsed: 473.10s | Estimated Remaining: 91383.16s
Processing row 2001/194353 | Elapsed: 953.87s | Estimated Remaining: 91693.32s
Processing row 3001/194353 | Elapsed: 1444.42s | Estimated Remaining: 92100.45s
Processing row 4001/194353 | Elapsed: 1940.68s | Estimated Remaining: 92330.18s
Processing row 5001/194353 | Elapsed: 2432.97s | Estimated Remaining: 92119.23s
Processing row 6001/194353 | Elapsed: 2917.60s | Estimated Remaining: 91574.04s
Processing row 7001/194353 | Elapsed: 3398.68s | Estimated Remaining: 90951.13s
Processing row 8001/194353 | Elapsed: 3876.43s | Estimated Remaining: 90286.19s
Processing row 9001/194353 | Elapsed: 4352.31s | Estimated Remaining: 89624.32s
Processing row 10001/194353 | Elapsed: 4827.93s | Estimated Remaining: 88995.03s
Processing row 11001/194353 | Elapsed: 5299.26s | Estimated Remaining: 88321.94s
Processing row 12001/194353 | Elapsed: 5767.33s | Estimated Remaining: 87633.01s
Processing row 13001/194353 | Elapsed: 6232.93s | Estimated Remaining: 86943.63s
Processing row 14001/194353 | Elapsed: 6691.94s | Estimated Remaining: 86201.32s
Processing row 15001/194353 | Elapsed: 7149.70s | Estimated Remaining: 85481.89s
Processing row 16001/194353 | Elapsed: 7606.07s | Estimated Remaining: 84779.58s
Processing row 17001/194353 | Elapsed: 8060.37s | Estimated Remaining: 84084.61s
Processing row 18001/194353 | Elapsed: 8512.88s | Estimated Remaining: 83398.89s
Processing row 19001/194353 | Elapsed: 8964.24s | Estimated Remaining: 82727.09s
Processing row 20001/194353 | Elapsed: 9414.91s | Estimated Remaining: 82071.33s
Processing row 21001/194353 | Elapsed: 9863.50s | Estimated Remaining: 81417.87s
Processing row 22001/194353 | Elapsed: 10311.44s | Estimated Remaining: 80778.03s
Processing row 23001/194353 | Elapsed: 10758.48s | Estimated Remaining: 80148.10s
Processing row 24001/194353 | Elapsed: 11204.45s | Estimated Remaining: 79525.90s
Processing row 25001/194353 | Elapsed: 11650.06s | Estimated Remaining: 78915.29s
Processing row 26001/194353 | Elapsed: 12093.27s | Estimated Remaining: 78301.84s
Processing row 27001/194353 | Elapsed: 12535.68s | Estimated Remaining: 77696.04s
Processing row 28001/194353 | Elapsed: 12977.56s | Estimated Remaining: 77098.77s
Processing row 29001/194353 | Elapsed: 13418.74s | Estimated Remaining: 76508.22s
Processing row 30001/194353 | Elapsed: 13858.95s | Estimated Remaining: 75922.35s
Processing row 31001/194353 | Elapsed: 14298.82s | Estimated Remaining: 75344.06s
Processing row 32001/194353 | Elapsed: 14739.07s | Estimated Remaining: 74776.36s
Processing row 33001/194353 | Elapsed: 15179.99s | Estimated Remaining: 74219.61s
Processing row 34001/194353 | Elapsed: 15620.46s | Estimated Remaining: 73667.61s
Processing row 35001/194353 | Elapsed: 16060.05s | Estimated Remaining: 73117.96s
Processing row 36001/194353 | Elapsed: 16498.83s | Estimated Remaining: 72570.86s
Processing row 37001/194353 | Elapsed: 16936.54s | Estimated Remaining: 72025.03s
Processing row 38001/194353 | Elapsed: 17373.05s | Estimated Remaining: 71480.00s
Processing row 39001/194353 | Elapsed: 17809.92s | Estimated Remaining: 70941.94s
Processing row 40001/194353 | Elapsed: 18248.01s | Estimated Remaining: 70413.65s
Processing row 41001/194353 | Elapsed: 18685.84s | Estimated Remaining: 69888.81s
Processing row 42001/194353 | Elapsed: 19122.74s | Estimated Remaining: 69364.73s
Processing row 43001/194353 | Elapsed: 19559.90s | Estimated Remaining: 68845.61s
Processing row 44001/194353 | Elapsed: 19997.12s | Estimated Remaining: 68330.43s
Processing row 45001/194353 | Elapsed: 20433.85s | Estimated Remaining: 67817.09s
Processing row 46001/194353 | Elapsed: 20871.32s | Estimated Remaining: 67309.46s
Processing row 47001/194353 | Elapsed: 21309.62s | Estimated Remaining: 66807.42s
Processing row 48001/194353 | Elapsed: 21748.05s | Estimated Remaining: 66308.43s
Processing row 49001/194353 | Elapsed: 22186.01s | Estimated Remaining: 65810.53s
Processing row 50001/194353 | Elapsed: 22624.26s | Estimated Remaining: 65315.82s
Processing row 51001/194353 | Elapsed: 23062.31s | Estimated Remaining: 64822.80s
Processing row 52001/194353 | Elapsed: 23500.21s | Estimated Remaining: 64331.49s
Processing row 53001/194353 | Elapsed: 23938.37s | Estimated Remaining: 63842.89s
Processing row 54001/194353 | Elapsed: 24375.36s | Estimated Remaining: 63353.10s
Processing row 55001/194353 | Elapsed: 24811.72s | Estimated Remaining: 62863.64s
Processing row 56001/194353 | Elapsed: 25248.57s | Estimated Remaining: 62377.29s
Processing row 57001/194353 | Elapsed: 25685.57s | Estimated Remaining: 61893.02s
Processing row 58001/194353 | Elapsed: 26122.25s | Estimated Remaining: 61409.64s
Processing row 59001/194353 | Elapsed: 26559.57s | Estimated Remaining: 60929.32s
Processing row 60001/194353 | Elapsed: 26996.82s | Estimated Remaining: 60450.27s
Processing row 61001/194353 | Elapsed: 27433.83s | Estimated Remaining: 59972.06s
Processing row 62001/194353 | Elapsed: 27871.28s | Estimated Remaining: 59496.13s
Processing row 63001/194353 | Elapsed: 28309.22s | Estimated Remaining: 59022.44s
Processing row 64001/194353 | Elapsed: 28747.42s | Estimated Remaining: 58550.39s
Processing row 65001/194353 | Elapsed: 29184.96s | Estimated Remaining: 58078.08s
Processing row 66001/194353 | Elapsed: 29622.59s | Estimated Remaining: 57606.98s
Processing row 67001/194353 | Elapsed: 30059.47s | Estimated Remaining: 57135.47s
Processing row 68001/194353 | Elapsed: 30496.44s | Estimated Remaining: 56665.15s
Processing row 69001/194353 | Elapsed: 30933.46s | Estimated Remaining: 56195.88s
Processing row 70001/194353 | Elapsed: 31369.69s | Estimated Remaining: 55726.11s
Processing row 71001/194353 | Elapsed: 31805.51s | Estimated Remaining: 55256.59s
Processing row 72001/194353 | Elapsed: 32240.85s | Estimated Remaining: 54787.19s
Processing row 73001/194353 | Elapsed: 32675.23s | Estimated Remaining: 54317.13s
Processing row 74001/194353 | Elapsed: 33109.40s | Estimated Remaining: 53847.68s
Processing row 75001/194353 | Elapsed: 33542.54s | Estimated Remaining: 53377.54s
Processing row 76001/194353 | Elapsed: 33974.87s | Estimated Remaining: 52907.11s
Processing row 77001/194353 | Elapsed: 34406.87s | Estimated Remaining: 52437.18s
Processing row 78001/194353 | Elapsed: 34838.86s | Estimated Remaining: 51968.20s
Processing row 79001/194353 | Elapsed: 35271.22s | Estimated Remaining: 51500.69s
Processing row 80001/194353 | Elapsed: 35702.88s | Estimated Remaining: 51033.05s
Processing row 81001/194353 | Elapsed: 36135.17s | Estimated Remaining: 50567.20s
Processing row 82001/194353 | Elapsed: 36567.19s | Estimated Remaining: 50101.80s
Processing row 83001/194353 | Elapsed: 36998.78s | Estimated Remaining: 49636.61s
Processing row 84001/194353 | Elapsed: 37429.67s | Estimated Remaining: 49171.31s
Processing row 85001/194353 | Elapsed: 37859.67s | Estimated Remaining: 48705.66s
Processing row 86001/194353 | Elapsed: 38289.77s | Estimated Remaining: 48240.99s
Processing row 87001/194353 | Elapsed: 38719.81s | Estimated Remaining: 47777.02s
Processing row 88001/194353 | Elapsed: 39149.19s | Estimated Remaining: 47313.04s
Processing row 89001/194353 | Elapsed: 39578.19s | Estimated Remaining: 46849.37s
Processing row 90001/194353 | Elapsed: 40007.08s | Estimated Remaining: 46386.37s
Processing row 91001/194353 | Elapsed: 40436.08s | Estimated Remaining: 45924.22s
Processing row 92001/194353 | Elapsed: 40864.90s | Estimated Remaining: 45462.60s
Processing row 93001/194353 | Elapsed: 41293.13s | Estimated Remaining: 45001.04s
Processing row 94001/194353 | Elapsed: 41721.72s | Estimated Remaining: 44540.57s
Processing row 95001/194353 | Elapsed: 42149.75s | Estimated Remaining: 44080.19s
Processing row 96001/194353 | Elapsed: 42578.09s | Estimated Remaining: 43620.80s
Processing row 97001/194353 | Elapsed: 43006.08s | Estimated Remaining: 43161.70s
Processing row 98001/194353 | Elapsed: 43432.45s | Estimated Remaining: 42701.64s
Processing row 99001/194353 | Elapsed: 43858.10s | Estimated Remaining: 42241.57s
Processing row 100001/194353 | Elapsed: 44284.14s | Estimated Remaining: 41782.56s
Processing row 101001/194353 | Elapsed: 44709.49s | Estimated Remaining: 41323.55s
Processing row 102001/194353 | Elapsed: 45134.26s | Estimated Remaining: 40864.69s
Processing row 103001/194353 | Elapsed: 45558.08s | Estimated Remaining: 40405.64s
Processing row 104001/194353 | Elapsed: 45981.12s | Estimated Remaining: 39946.60s
Processing row 105001/194353 | Elapsed: 46404.41s | Estimated Remaining: 39488.45s
Processing row 106001/194353 | Elapsed: 46828.10s | Estimated Remaining: 39031.30s
Processing row 107001/194353 | Elapsed: 47251.89s | Estimated Remaining: 38574.85s
Processing row 108001/194353 | Elapsed: 47676.51s | Estimated Remaining: 38119.67s
Processing row 109001/194353 | Elapsed: 48100.93s | Estimated Remaining: 37664.89s
Processing row 110001/194353 | Elapsed: 48526.19s | Estimated Remaining: 37211.31s
Processing row 111001/194353 | Elapsed: 48950.60s | Estimated Remaining: 36757.60s
Processing row 112001/194353 | Elapsed: 49374.78s | Estimated Remaining: 36304.25s
Processing row 113001/194353 | Elapsed: 49798.74s | Estimated Remaining: 35851.25s
Processing row 114001/194353 | Elapsed: 50222.61s | Estimated Remaining: 35398.70s
Processing row 115001/194353 | Elapsed: 50646.29s | Estimated Remaining: 34946.52s
Processing row 116001/194353 | Elapsed: 51070.04s | Estimated Remaining: 34494.87s
